original_video_id,video_id,frame_id,path,labels,original_video_id video_id frame_id path labels
IMG_0130,1,0,IMG_0130/IMG_0130_000585.jpg,"""""","IMG_0130 1 0 IMG_0130/IMG_0130_000585.jpg """""
IMG_0130,1,1,IMG_0130/IMG_0130_000591.jpg,"""""","IMG_0130 1 1 IMG_0130/IMG_0130_000591.jpg """""
IMG_0130,1,2,IMG_0130/IMG_0130_000220.jpg,"""""","IMG_0130 1 2 IMG_0130/IMG_0130_000220.jpg """""
IMG_0130,1,3,IMG_0130/IMG_0130_000546.jpg,"""""","IMG_0130 1 3 IMG_0130/IMG_0130_000546.jpg """""
IMG_0130,1,4,IMG_0130/IMG_0130_000552.jpg,"""""","IMG_0130 1 4 IMG_0130/IMG_0130_000552.jpg """""
IMG_0130,1,5,IMG_0130/IMG_0130_000234.jpg,"""""","IMG_0130 1 5 IMG_0130/IMG_0130_000234.jpg """""
IMG_0130,1,6,IMG_0130/IMG_0130_000208.jpg,"""""","IMG_0130 1 6 IMG_0130/IMG_0130_000208.jpg """""
IMG_0130,1,7,IMG_0130/IMG_0130_000022.jpg,"""""","IMG_0130 1 7 IMG_0130/IMG_0130_000022.jpg """""
IMG_0130,1,8,IMG_0130/IMG_0130_000036.jpg,"""""","IMG_0130 1 8 IMG_0130/IMG_0130_000036.jpg """""
IMG_0130,1,9,IMG_0130/IMG_0130_000195.jpg,"""""","IMG_0130 1 9 IMG_0130/IMG_0130_000195.jpg """""
IMG_0130,1,10,IMG_0130/IMG_0130_000181.jpg,"""""","IMG_0130 1 10 IMG_0130/IMG_0130_000181.jpg """""
IMG_0130,1,11,IMG_0130/IMG_0130_000156.jpg,"""""","IMG_0130 1 11 IMG_0130/IMG_0130_000156.jpg """""
IMG_0130,1,12,IMG_0130/IMG_0130_000142.jpg,"""""","IMG_0130 1 12 IMG_0130/IMG_0130_000142.jpg """""
IMG_0130,1,13,IMG_0130/IMG_0130_000397.jpg,"""""","IMG_0130 1 13 IMG_0130/IMG_0130_000397.jpg """""
IMG_0130,1,14,IMG_0130/IMG_0130_000383.jpg,"""""","IMG_0130 1 14 IMG_0130/IMG_0130_000383.jpg """""
IMG_0130,1,15,IMG_0130/IMG_0130_000354.jpg,"""""","IMG_0130 1 15 IMG_0130/IMG_0130_000354.jpg """""
IMG_0130,1,16,IMG_0130/IMG_0130_000432.jpg,"""""","IMG_0130 1 16 IMG_0130/IMG_0130_000432.jpg """""
IMG_0130,1,17,IMG_0130/IMG_0130_000426.jpg,"""""","IMG_0130 1 17 IMG_0130/IMG_0130_000426.jpg """""
IMG_0130,1,18,IMG_0130/IMG_0130_000340.jpg,"""""","IMG_0130 1 18 IMG_0130/IMG_0130_000340.jpg """""
IMG_0130,1,19,IMG_0130/IMG_0130_000368.jpg,"""""","IMG_0130 1 19 IMG_0130/IMG_0130_000368.jpg """""
IMG_0130,1,20,IMG_0130/IMG_0130_000369.jpg,"""""","IMG_0130 1 20 IMG_0130/IMG_0130_000369.jpg """""
IMG_0130,1,21,IMG_0130/IMG_0130_000427.jpg,"""""","IMG_0130 1 21 IMG_0130/IMG_0130_000427.jpg """""
IMG_0130,1,22,IMG_0130/IMG_0130_000341.jpg,"""""","IMG_0130 1 22 IMG_0130/IMG_0130_000341.jpg """""
IMG_0130,1,23,IMG_0130/IMG_0130_000355.jpg,"""""","IMG_0130 1 23 IMG_0130/IMG_0130_000355.jpg """""
IMG_0130,1,24,IMG_0130/IMG_0130_000433.jpg,"""""","IMG_0130 1 24 IMG_0130/IMG_0130_000433.jpg """""
IMG_0130,1,25,IMG_0130/IMG_0130_000382.jpg,"""""","IMG_0130 1 25 IMG_0130/IMG_0130_000382.jpg """""
IMG_0130,1,26,IMG_0130/IMG_0130_000396.jpg,"""""","IMG_0130 1 26 IMG_0130/IMG_0130_000396.jpg """""
IMG_0130,1,27,IMG_0130/IMG_0130_000143.jpg,"""""","IMG_0130 1 27 IMG_0130/IMG_0130_000143.jpg """""
IMG_0130,1,28,IMG_0130/IMG_0130_000157.jpg,"""""","IMG_0130 1 28 IMG_0130/IMG_0130_000157.jpg """""
IMG_0130,1,29,IMG_0130/IMG_0130_000180.jpg,"""""","IMG_0130 1 29 IMG_0130/IMG_0130_000180.jpg """""
IMG_0130,1,30,IMG_0130/IMG_0130_000194.jpg,"""""","IMG_0130 1 30 IMG_0130/IMG_0130_000194.jpg """""
IMG_0130,1,31,IMG_0130/IMG_0130_000037.jpg,"""""","IMG_0130 1 31 IMG_0130/IMG_0130_000037.jpg """""
IMG_0130,1,32,IMG_0130/IMG_0130_000023.jpg,"""""","IMG_0130 1 32 IMG_0130/IMG_0130_000023.jpg """""
IMG_0130,1,33,IMG_0130/IMG_0130_000209.jpg,"""""","IMG_0130 1 33 IMG_0130/IMG_0130_000209.jpg """""
IMG_0130,1,34,IMG_0130/IMG_0130_000553.jpg,"""""","IMG_0130 1 34 IMG_0130/IMG_0130_000553.jpg """""
